categorie|marque|nom|nutritionGradeFr|ingredients|energie100g|graisse100g|sucres100g|fibres100g|proteines100g|sel100g|vitA100g|vitD100g|vitE100g|vitK100g|vitC100g|vitB1100g|vitB2100g|vitPP100g|vitB6100g|vitB9100g|vitB12100g|calcium100g|magnesium100g|iron100g|fer100g|betaCarotene100g|presenceHuilePalme|allergenes|additifs|
Desserts|Cora|Riz au lait saveur vanille|c|_Lait_ entier 65 %, eau, riz 10 %, sucre, amidon de riz, _crème_, poudre de _lait_ écrémé, arôme naturel de vanille, concentré de carotte, sel.|494|2.8|11.4|0.5|2.8|0.12|||||||||||||||||0|Lait, crème, lait||
Desserts|Cora|Flans Nappés De Caramel|c|_Lait_ partiellement écrémé 76.5 %, sucre, caramel 5 %, amidon de maïs, gélifiant : carraghénanes, arôme, colorants : caroténoïdes, épaississants : pectine, gomme xanthane, amidon transformé de pomme de terre, correcteur d'acidité : citrate de sodium.|469|0.8|18.8|0|2.7|0|||||||||||||||||0|en:milk|E14XX - Amidons modifiés,E160 - Caroténoïdes,E331 - Citrates de sodium,E407 - Carraghénanes,E415 - Gomme xanthane,E440 - Pectines,E440i - Pectine|
Desserts|Cora,Cora dégustation|Pomme Figue Noix cuit au chaudron|c|Pommes 40% - figues 32% - sucre - caramel- _noix_ du Périgord AOP 1.8% - _beurre_ - jus de citron concentré - émulsifiant : monoglycérides d'acides gras.|714|2.3|32.1|2.1|0.6|0.1|||||||||||||||||0|noix, beurre||
Desserts|Coteaux Nantais|Purée Pomme Cassis|a|Pommes, cassis.|232|0|10.9|2|0|0|||||||||||||||||0|||
Desserts|Céréal Bio|Médaillons Bio Chocolat au lait|e|Chocolat au lait 48%, farine intégrale de blé 17%, farine de blé 16%, sucre de canne roux, graisse de palme, lait écrémé en poudre, poudres à lever, sel marin, arôme naturel de vanille, acidifiant : acide citrique.|2172|27.7|34.6|3.8|7.1|0.3556|||||||||||||||||1||E330 - Acide citrique,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium,E503 - Carbonates d'ammonium,E503ii - Carbonate acide d'ammonium|
Desserts|Côteaux Nantais|La Compote de Fraises avec Morceaux|a|Fraises 90%, sucre de canne 10%.|439|0|21.4|1.9|0.7|0|||||||||||||||||0|||
Desserts|Côteaux Nantais|Purée de Pommes|a|Pommes.|228|0|10.6|2|0|0|||||||||||||||||0|||
Desserts|Dallais|Mon Riz au Lait de Verneuil|c|_Lait_ entier de Verneuil 75 %, riz Arborio 7.5 %, _crème_ liquide de Verneuil, sucre, farine de maïs, gousses de vanille, sel.|561|5.1|11.5||3.2|0.1|||||||||||||||||0|Lait, crème||
Desserts|Danival|Dani'Pom - Pomme Banane|a|Purée de pommes françaises, purée de bananes.|285|0.2|11.5|2.2|0.5|0|||||||||||||||||0|||
Desserts|Danival|100% Fruit Poire|a|Purée de poires.|255|0.1|13|2.1|0.8|0.01|||||||||||||||||0|||
Desserts|Danival|Dani'Pom - Pomme Myrtille|a|Purée de pommes françaises, purée de myrtilles|255|0.2|10.3|2.4|0.3|0|||||||||||||||||0|||
Desserts|Danival|Dani'Pom pomme abricot|a|Purée de pommes françaises, purée d'abricot français|257|0.2|10.2|2.3|0.4|0|||||||||||||||||0|||
Desserts|Danival|Compotes Pomme Poire Sans Sucres Ajoutés|a|Purée de pommes françaises, purée de poires.|259|0.2|10.8|2.4|0.3|0.01|||||||||||||||||0|||
Desserts|Danival|Dani'Pom - Pomme Vanille|a|Purée de pommes françaises, vanille|264|0.2|10.4|2.4|0.3|0|||||||||||||||||0|||
Desserts|Danival|Dessert Coco & Mangue|c|Lait de coco, eau, purée de mangue, sucre, amidon de maïs, gomme de xanthane.|527|6.5|11.4|1.2|1|0.09|||||||||||||||||0||E412 - Gomme de guar,E415 - Gomme xanthane|
Desserts|Danival|Purée Pomme & Framboise 100% Fruit Bio Sans Sucres Ajoutés|a|Purée de pommes françaises.|255|0.3|9.7|0|0.4|0.01|||||||||||||||||0|||
Desserts|Danival|Les Petits Desserts Amande|b|Eau, jus de raisin concentré* rectifié, purée d'amandes*, gomme de guar, sel marin non raffiné de l'Atlantique. ).*100% des ingrédients d’origine agricole ont été obtenus selon les règles de production biologique.|511|7|10.9|2.1|2.8|0.2|||||||||||||||||0|en:nuts|E412 - Gomme de guar|
Desserts|Danival|Pokibio Pomme, Pomme Fraise, Pomme Banane, Pomme Mangue|a|Purée de pommes*- Purée de pommes*, purée de bananes*- Purée de pommes*, purée de fraises*- Purée de pommes*, purée de mangues*-|276|0.2|11.2|2.2|0.4|0|||||||||||||||||0|||
Desserts|Danival|Fruits 100% Fruits Pomme|a|Purée de pommes.|228|0.1|12|1|0.2|0.04|||||||||||||||||0|||
Desserts|Danival|Les Petits Desserts Coco|c|Lait de coco, eau, sucre de canne, amidon natif de maïs, noix de coco râpée, épaississant: gomme de xanthane, jus de citron.|591|9.9|8.3|0.5|1|0.07|||||||||||||||||0||E412 - Gomme de guar,E415 - Gomme xanthane|
Desserts|Danival|Poki Bio Pomme|a|Purée de pommes.|264|0.2|10.4|2.4|0.3|0|||||||||||||||||0|||
Desserts|Danone|Danette Saveur Pistache|c|_Lait_ entier, sucre, épaississants, perméat de _petit-lait_en poudre, amidon, arôme, colorants.|452|3|14.8||2.8|0.1|||||||||||||||||0|en:milk|E141 - Complexe cuivrique des chlorophylles,E1442 - Phosphate de diamidon hydroxypropyle,E160a - Bêta-carotène,E407 - Carraghénanes|
Desserts|Danone|Danette Caramel|c|_Lait_ entier, _lait_ écrémé reconstitué à base de lait en poudre, _lait_ écrémé concentré ou en poudre, sucre, caramel, crème, épaississant, amidon, stabilisant, arôme, sucre cuit.|481|2.7|16||3.4|0.2|||||||||||||||||0|en:milk|E1442 - Phosphate de diamidon hydroxypropyle,E340 - Orthophosphates de potassium,E407 - Carraghénanes|
Desserts|Danone|Danette Caramel Salé|c|_Lait_ entier et _lait_ écrémé concentré ou en poudre, caramel), sucre, épaississants, crème, amidon.|490|2.7|17.2||3.4|0.31|||||||||||||||||0|en:milk|E1442 - Phosphate de diamidon hydroxypropyle,E407 - Carraghénanes,E524 - Hydroxyde de sodium|
Desserts|Danone|Spécialité laitière au café TAILLEFINE plaisirs|b|lait écrémé, sucre, lait écrémé en poudre, crème, inuline, amidon, extrait liquide de café, épaississants : amidon transformé, carraghénanes, arôme, sucre cuit, édulcorants : vitamine D.|339|0.9|10.8||4.1|0.17|||||||||||||||||0||E14XX - Amidons modifiés,E407 - Carraghénanes|
Desserts|Danone|Le Liégeois Saveur Vanille|c|_Lait_ entier 71.7%, crème, sucre, perméat de petit _lait_en poudre, épaississants : E1442. E407. amidon, gélatine, émulsifiants : E472b, arômes, colorant : E160a, sel|586|7.2|14.1||3|0.13|||||||||||||||||0|Lait, lait, lait, lait|E1442 - Phosphate de diamidon hydroxypropyle,E160a - Bêta-carotène,E407 - Carraghénanes,E428 - Gélatine,E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras|
Desserts|Delis,Delis SA|Compote de pommes allégée en sucres|a|Pomme, sucre, vitamine C.|295|0.3|14.5|2|0.3|0.0254|||||0.013||||||||||||0|||
Desserts|Doux Secrets|Flan Nappé Caramel|c|_Lait_ partiellement écrémé; sucre;caramel : 6 %; amidon ; épaississant : carraghénanes ; arômes ; colorants : rocou, caramel ordinaire ; protéines de _lait_.|385|0.8|17.1||2.5|0.09|||||||||||||||||0|en:milk|E14XX - Amidons modifiés,E150a - Caramel E150a,E160b - Rocou,E407 - Carraghénanes,E415 - Gomme xanthane,E440 - Pectines|
Desserts|Délisse,Marque Repère|Del'Light|a|Fromage frais au _lait_ écrémé pasteurisé69 % ; eau : fruit 10 %; oligofructose, amidons modifiés : gélatine bovine ; lactate de calcium ; correcteurs d'acidité : acide citrique, E331 ; phosphate calcium ; épaississants : gomme xanthane, gomme guar édulcorants : acésulfame-K, sucralose ; arômes colorants : caroténoïdes, E120 : vitamine D.|230|0|3.4|1.7|7.1|0.1||7.5e-07||||||||||0.012|||||0|lait|E120 - Acide carminique,E14XX - Amidons modifiés,E160 - Caroténoïdes,E327 - Lactate de calcium,E330 - Acide citrique,E331 - Citrates de sodium,E341 - Phosphates de calcium,E412 - Gomme de guar,E415 - Gomme xanthane,E428 - Gélatine,E950 - Acésulfame K,E955 - Sucralose|
